               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.050635,            0.017841,                   0,             0.15789,                   1,             0.21378,            0.085038,            0.063692,            0.017119,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.057275,            0.018834,                   0,             0.56871,                   1,             0.74625,             0.23925,            0.051725,            0.019456,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.049958,            0.020338,                   0,             0.56871,                   1,             0.74625,             0.23925,            0.051725,            0.019456,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.044661,            0.019158,                   0,              0.2943,                   1,             0.37313,             0.23229,            0.045115,            0.019294,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.044795,            0.018665,                   0,             0.66271,                   1,               0.995,             0.38618,            0.047054,            0.018066,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.052379,            0.017616,                   0,             0.66366,                   1,                0.83,             0.42866,            0.042468,            0.016741,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.043873,            0.022452,                   0,             0.66366,                   1,                0.83,             0.42866,            0.042468,            0.016741,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.041817,            0.021084,                   0,             0.43326,                   1,               0.597,             0.36661,            0.032662,            0.017296,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.039113,            0.021238,                   0,                   1,             0.89275,               0.995,             0.47819,            0.041642,            0.015296,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.045031,            0.019689,                   0,              0.7321,             0.92841,                0.83,             0.33455,            0.033687,            0.015598,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.039839,            0.020038,                   0,              0.7321,             0.92841,                0.83,             0.33455,            0.033687,            0.015598,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.034852,             0.02062,                   0,             0.72898,             0.91591,                0.83,             0.43182,            0.030886,            0.015254,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.037816,            0.018133,                   0,             0.74417,             0.97667,                0.83,             0.37651,            0.037923,            0.014135,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.045322,            0.017371,                   0,                   1,             0.84448,               0.995,             0.62519,            0.034581,            0.013988,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.039873,             0.01947,                   0,                   1,             0.84448,               0.995,             0.62519,            0.034581,            0.013988,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.035585,            0.017643,                   0,             0.90906,                   1,               0.995,             0.69694,            0.028065,              0.0139,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.035271,            0.013169,                   0,             0.95669,                   1,               0.995,             0.57544,             0.04209,            0.013054,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.044105,            0.014528,                   0,              0.5603,                   1,               0.731,             0.34013,            0.036991,            0.013558,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.036474,            0.015273,                   0,              0.5603,                   1,               0.731,             0.34013,            0.036991,            0.013558,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.034722,              0.0159,                   0,              0.5806,                   1,               0.753,             0.48964,            0.033672,            0.013035,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.034127,            0.014928,                   0,             0.71869,                   1,              0.9125,             0.58945,            0.033674,            0.012646,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.037201,            0.015125,                   0,             0.74683,             0.98733,                0.83,              0.3763,            0.034158,            0.012075,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.035152,            0.014977,                   0,             0.74683,             0.98733,                0.83,              0.3763,            0.034158,            0.012075,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.030737,            0.012533,                   0,                   1,             0.92778,               0.995,             0.67009,            0.022559,            0.012166,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.032363,            0.014107,                   0,                   1,             0.99842,               0.995,             0.40657,            0.037948,            0.011358,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.040939,            0.013218,                   0,                   1,             0.96172,               0.995,             0.82954,            0.026336,            0.011212,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.028798,            0.012497,                   0,                   1,             0.96172,               0.995,             0.82954,            0.026336,            0.011212,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.028554,            0.015148,                   0,             0.97508,                   1,               0.995,             0.75766,            0.023822,            0.010983,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.029438,            0.015853,                   0,             0.73352,                   1,              0.9125,             0.60587,            0.026199,            0.010725,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.033926,            0.012875,                   0,             0.97988,                   1,               0.995,             0.70771,             0.02534,            0.010658,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.026432,            0.014914,                   0,             0.97988,                   1,               0.995,             0.70771,             0.02534,            0.010658,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.026127,            0.013623,                   0,                   1,             0.99876,               0.995,             0.77983,            0.021669,            0.010604,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.029326,            0.014031,                   0,              0.7267,                   1,              0.9125,             0.58933,             0.02869,            0.010398,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.032893,            0.012058,                   0,             0.98138,                   1,               0.995,             0.74087,            0.021496,            0.010398,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.023587,            0.012965,                   0,             0.98138,                   1,               0.995,             0.74087,            0.021496,            0.010398,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023419,            0.011903,                   0,             0.97897,                   1,               0.995,             0.79658,            0.020534,            0.010408,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.025953,            0.013586,                   0,             0.98118,                   1,               0.995,               0.796,            0.023831,            0.010225,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.029804,            0.012272,                   0,             0.98009,                   1,               0.995,               0.796,            0.018292,            0.010264,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.025689,            0.010935,                   0,             0.98009,                   1,               0.995,               0.796,            0.018292,            0.010264,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.02229,            0.011416,                   0,             0.97935,                   1,               0.995,             0.86254,            0.016597,            0.010264,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.021884,            0.010085,                   0,             0.96917,                   1,               0.995,             0.86254,            0.023489,           0.0099498,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.027517,            0.012614,                   0,              0.9806,                   1,               0.995,             0.82954,            0.017341,            0.010149,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.02356,             0.01165,                   0,              0.9806,                   1,               0.995,             0.82954,            0.017341,            0.010149,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021247,            0.010566,                   0,             0.98048,                   1,               0.995,             0.79658,             0.01608,             0.01005,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019559,            0.012154,                   0,             0.97209,                   1,               0.995,             0.76304,            0.021513,           0.0098327,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.024109,            0.012883,                   0,             0.98044,                   1,               0.995,             0.86254,            0.015193,           0.0097292,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017534,           0.0089038,                   0,             0.98044,                   1,               0.995,             0.86254,            0.015193,           0.0097292,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.01977,            0.011708,                   0,             0.98055,                   1,               0.995,             0.89608,            0.015848,           0.0095488,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.023945,            0.010753,                   0,             0.98061,                   1,               0.995,             0.75208,             0.02144,            0.009465,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.026148,            0.011259,                   0,             0.97521,                   1,               0.995,             0.86254,            0.016166,            0.009434,                   0,            0.001486,            0.001486,            0.001486
                  88,              0.0198,            0.009134,                   0,             0.97521,                   1,               0.995,             0.86254,            0.016166,            0.009434,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017223,              0.0105,                   0,             0.98049,                   1,               0.995,             0.89608,            0.014617,           0.0093754,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019186,             0.01136,                   0,             0.98077,                   1,               0.995,             0.81279,            0.015756,           0.0093657,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019354,            0.012143,                   0,             0.97991,                   1,               0.995,             0.77983,            0.014518,           0.0092552,                   0,             0.00109,             0.00109,             0.00109
                  92,              0.0204,            0.011946,                   0,             0.97991,                   1,               0.995,             0.77983,            0.014518,           0.0092552,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.014626,           0.0091582,                   0,             0.97995,                   1,               0.995,             0.87933,            0.013717,           0.0092299,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018044,            0.010614,                   0,             0.98098,                   1,               0.995,             0.89608,            0.015476,           0.0091566,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.019345,              0.0111,                   0,             0.98087,                   1,               0.995,             0.87933,            0.014698,           0.0091605,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017654,            0.009706,                   0,             0.98087,                   1,               0.995,             0.87933,            0.014698,           0.0091605,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018387,            0.010697,                   0,             0.97999,                   1,               0.995,             0.87933,            0.014693,           0.0091429,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018445,           0.0091523,                   0,             0.97987,                   1,               0.995,             0.82958,            0.015506,            0.009103,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017457,            0.010351,                   0,                0.98,                   1,               0.995,             0.82958,            0.014657,           0.0090663,                   0,            0.000298,            0.000298,            0.000298
